clave_municipio,clave_entidad,entidad,municipio,lista_nominal,total_votos,participacion,votos_shh,votos_fcm,votos_mc,votos_otros,pct_shh,pct_fcm,pct_mc,ventaja_shh
20469,20,Oaxaca,Santiago Juxtlahuaca,24585,16274,66.1948,13797,1245,804,428,84.7794,7.6502,4.9404,77.1292
20470,20,Oaxaca,Santiago Lachiguiri,3622,1550,42.794,1300,174,40,36,83.871,11.2258,2.5806,72.6452
20471,20,Oaxaca,Santiago Lalopa,339,226,66.6667,205,9,6,6,90.708,3.9823,2.6549,86.7257
20472,20,Oaxaca,Santiago Laollaga,2858,2051,71.7635,1859,91,68,33,90.6387,4.4369,3.3155,86.2018
20473,20,Oaxaca,Santiago Laxopa,938,338,36.0341,293,25,9,11,86.6864,7.3964,2.6627,79.29
20474,20,Oaxaca,Santiago Llano Grande,2704,1996,73.8166,1215,701,53,27,60.8717,35.1202,2.6553,25.7515
20475,20,Oaxaca,Santiago Matatlan,7989,2874,35.9745,2226,375,182,91,77.453,13.048,6.3326,64.405
20476,20,Oaxaca,Santiago Miltepec,316,152,48.1013,106,31,10,5,69.7368,20.3947,6.5789,49.3421
20477,20,Oaxaca,Santiago Minas,1133,566,49.9559,485,42,10,29,85.689,7.4205,1.7668,78.2685
20478,20,Oaxaca,Santiago Nacaltepec,1334,761,57.0465,681,53,18,9,89.4875,6.9645,2.3653,82.523
20479,20,Oaxaca,Santiago Nejapilla,153,82,53.5948,59,18,4,1,71.9512,21.9512,4.878,50
20480,20,Oaxaca,Santiago Nundiche,812,526,64.7783,483,27,12,4,91.8251,5.1331,2.2814,86.692
20481,20,Oaxaca,Santiago Nuyoo,1484,852,57.4124,789,24,15,24,92.6056,2.8169,1.7606,89.7887
20482,20,Oaxaca,Santiago Pinotepa Nacional,40500,24336,60.0889,17347,4883,1346,760,71.2812,20.0649,5.5309,51.2163
20483,20,Oaxaca,Santiago Suchilquitongo,8412,6134,72.9196,4305,1046,627,156,70.1826,17.0525,10.2217,53.1301
20484,20,Oaxaca,Santiago Tamazola,3281,1944,59.2502,1238,578,76,52,63.6831,29.7325,3.9095,33.9506
20485,20,Oaxaca,Santiago Tapextla,2170,1443,66.4977,1237,95,46,65,85.7242,6.5835,3.1878,79.1407
20486,20,Oaxaca,Villa Tejupam de la Union,2004,1429,71.3074,999,280,124,26,69.909,19.5941,8.6774,50.3149
20487,20,Oaxaca,Santiago Tenango,1547,721,46.6063,518,109,80,14,71.8447,15.1179,11.0957,56.7268
20488,20,Oaxaca,Santiago Tepetlapa,95,66,69.4737,50,8,7,1,75.7576,12.1212,10.6061,63.6364
20489,20,Oaxaca,Santiago Tetepec,3526,2414,68.4628,1965,292,71,86,81.4002,12.0961,2.9412,69.3041
